domain,label
sourceforge.net/projects/gtktiemu/,0
home2.swipnet.se/~w-22420/,0
www.angelfire.com/me2/Vimi7777/index.html,0
userpages.umbc.edu/~amrish1/home.htm,0
realestate.aol.com/real-estate-markets,0
www.jes.com/cdp,0
www.users.zetnet.co.uk/logs/Genesis/terrsky.htm,0
jnlp.sourceforge.net/netx/,0
www.swcp.com/~dmckeon/mod-faq.html,0
all-technology.com/eigenpolls/asdbooks/,0
www.firstsql.com/issues.shtml#issue,0
www.doc.ic.ac.uk/automed/,0
www.rpg.net/news+reviews/reviews/rev_2978.html,0
en.wikipedia.org/wiki/Lua_(programming_language),0
support.microsoft.com/default.aspx?scid=support.microsoft.com:80/support/kb/articles/Q219/4/30.ASP,0
wcms.inf.ed.ac.uk/ipab/,0
etd.utk.edu/2004/LeeYounEung.pdf,0
www.evermore.com/pegasus/,0
www.macobserver.com/rss/macobserver.rdf,0
www.stel.ru/speech/speech_database.htm,0
www.homearcade.org/BBBB/,0
www.net1000.net/resume/resume.pdf,0
homepages.ihug.co.nz/~geneoh/,0
cwx.prenhall.com/bookbind/pubbooks/rao/chapter0/deluxe.html,0
www.ddj.com/architect/184413873?pgno=3,0
www.yourhtmlsource.com/promotion/favicon.html,0
www.scs.carleton.ca/~kranakis/ANOGIA/algo05.html,0
wi.wu-wien.ac.at/rgf/rexx/,0
www.harris-authors.com/talisman.html,0
www.cato.com/fyi/,0
www.selway.org/spservices/publicrelations/pr.htm,0
www.ewc.co.jp/en/,0
www.setgame.com/quiddler/,0
www.catb.org/~esr/retro/,0
www.siam.org/meetings/sdm01/,0
www.media-match.com/affiliates.php,0
tech.groups.yahoo.com/group/Fainters/,0
tools.ietf.org/html/rfc3131,0
www.usenix.org/publications/library/proceedings/coots99/full_papers/neumann/neumann_html/,0
erikberg.com/xmlstats/,0
pages.cs.wisc.edu/~pruyne/os9faq.html,0
www.nbos.com/products/sketcher/sketcher.htm,0
groups.yahoo.com/group/rss-dev/files/Modules/Proposed/mod_threading.html,0
lobsteve.homestead.com/files/tscindex.html,0
www.fileinfo.com/filetypes/image,0
www.alias-i.com/lingpipe/,0
www.blumentals.net/buttonmenumaker/,0
tools.ietf.org/html/rfc154,0
ertos.nicta.com.au/software/sulima/,0
www.webring.com/hub?ring=lejend,0
www.geosynthetica.net/tech_docs/EMStressStrain.pdf,0
www.chestysoft.com/imagelogger/,0
www.infopackets.com/windowstutorials.htm,0
www.clickfire.com/ciw/,0
www.panix.com/~sos/bc/wizwar.html,0
www.usenix.org/publications/library/proceedings/als00/2000papers/papers/full_papers/bode/bode_html/,0
www.mts.net/~nelsrob/,0
www.thermadyne.com/thermaldynamics/,0
www.softpanorama.org/Algorithms/sorting.shtml,0
www.hamilton.ca/CityServices/transit/,0
pacioli.loyola.edu/aecm/,0
goinamsterdam.nl/tournaments/amsterdam/,0
toolguy.com/autorepairkits.htm,0
www.dat.ruc.dk/~ncjuul/projects/Bled2003/CFP.html,0
www.salescontrolsystems.com/Retaildefault.htm,0
www.wra1th.plus.com/awk/,0
www.sjgames.com/errata/gurps/,0
searchenginewatch.com/article/2066038/Google-Goes-Forward,0
tools.ietf.org/html/rfc1995,0
www.vdacs.virginia.gov/marketnews/,0
www.npl.co.uk/server.php?show=nav.609,0
www.cs.umd.edu/users/harry/jotp/,0
www.the-dma.org/dmef/index.shtml,0
members.tripod.com/~fglinc/philippi.htm,0
www.iisg.nl/research/britain.doc,0
www.itl.nist.gov/iaui/vip/,0
www.ces.clemson.edu/linux/,0
www.scn.org/~bkarger/gopher-manifesto,0
www.ktu.lt/en/scriptas1.asp?pirmas=/en/studies/menu.html&amp;antras=/en/studies/knyga2005/magistr/diz.html&amp;meniu=/en/virsus2.html,0
'www.welland.library.on.ca/industry/Factory\%20Pages/Print\%20Friendly/Empire\%20Cotton\%20Mills\%20Simple.htm',0
angelfire.com/games3/battlegamers,0
www.wired.com/science/discoveries/news/1998/11/16180,0
www.us.randstad.com/creative/index-c.html,0
www.matherlymech.com/index.htm,0
weitz.de/hunchentoot/,0
www.itee.uq.edu.au/~csmweb/decompilation/application.html,0
www.thefreecountry.com/compilers/modula2.shtml,0
www.nedatacorp.com/nedimage.asp,0
osherove.com/tools,0
web.media.mit.edu/~rehmi/fabric/,0
www.geuz.org/directory/,0
marcussharpe.com/Cam.htm,0
aass.oru.se/~tdt/,0
www.freewebs.com/shattered_lands/,0
www.gnu.org/software/autogen/,0
www.dcs.gla.ac.uk/fp/,0
plg.uwaterloo.ca/~migod/uml.html,0
sourceforge.net/projects/kuml/,0
www.nabiscoworld.com/sweepstakes/,0
www.los-gatos.ca.us/los_gatos/businesses/the_webworks/waci/index.html,0
www.angelfire.com/sk/skippy021/,0
arch.ced.berkeley.edu/vitalsigns/,0
sourceforge.net/projects/gnutmeg/,0
internext.co.za/clients/nestor/vhs.htm,0
www.rupert-lane.org/inform-mode/,0
www.kegel.com/linux/edu/,0
www.gnu.org/software/make/make.html,0
www.ehow.com/how-to_4845451_design-own-web-page.html,0
tools.ietf.org/html/rfc2233,0
www.ibm.com/developerworks/library/x-html5/,0
www.rebex.net/time.net/,0
tools.ietf.org/html/rfc2673,0
www.pctechguide.com/33CDR-RW.htm,0
www-306.ibm.com/software/awdtools/library/standards/ocl-download.html,0
msdn.microsoft.com/en-gb/theshow.aspx,0
www-935.ibm.com/services/au/index.wss/summary/igs/a1019937,0
boardgamecentral.com/checkers/,0
www.networkcomputing.com/unixworld/tutorial/008/008.txt.html,0
www.comp.glam.ac.uk/pages/staff/dwfarthi/projman.htm,0
www.componentdesigns.com/products/helpbubble.asp,0
www.gamespot.com/gamecube/action/bloodomen2/,0
lists.apple.com/mailman/listinfo/fortran-dev,0
members.shaw.ca/akaye/,0
cswww.essex.ac.uk/PLANET/summer-school-02/,0
www.cs.hku.hk/icebe2005/call_for_papers.htm,0
mirtchovski.com/lanlp9/,0
business.gov/guides/contracting/,0
ct-inter.com/en/index.html,0
tools.ietf.org/html/rfc102,0
www.gnu.org/projects/dotgnu/,0
www.scholastic.com/harrypotter/screensaver/index.htm,0
www.simba.com/odbc-sdk.htm,0
www.webaim.org/techniques/acrobat/,0
www.securemac.com/macanalysis.php,0
www.crockford.com/chess/xiangqi.html,0
www.contextmagic.com/favorite-shortcuts/,0
www.armchairempire.com/Reviews/ps2/manhunt.htm,0
policy.uncg.edu/identity_theft_prevention/,0
en.wikipedia.org/wiki/DragonFly_BSD,0
www.edtechpolicy.org/YoungScholars/2008/Howard/Microworlds2008.html,0
www.lkessler.com/cclinks.shtml,0
tools.ietf.org/html/rfc3048,0
www.xceedsoft.com/products/binEncod/,0
www.sternart.com/restoration_studio.asp,0
www.estima.com/chess/,0
www.ridgecrest.ca.us/~jslayton/software.html,0
www.sec.gov/news/studies/yr2000.htm,0
drdobbs.com/architecture-and-design/184414734/,0
www.gamespot.com/xbox/action/blade2/,0
www.gnu.org/software/toutdoux/en/index.html,0
www.freewebs.com/coolpicsandclipart/,0
www.software.jodda.de/record.html,0
www.endprod.com/colors/,0
